country_name,indicator_name,sex,age_group,age_categories,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,Average_per_years,region,sub_region,economic_level,standard_deviation
Afghanistan,Unemployment rate by sex and age,Female,15-24,Youth,13.34,15.974,18.57,21.137,20.649,20.154,21.228,21.64,30.561,32.2,33.332,22.61681818,Asia,Southern Asia,Low income,6.567619657
Afghanistan,Unemployment rate by sex and age,Female,25+,Adults,8.576,9.014,9.463,9.92,11.223,12.587,14.079,14.415,23.818,26.192,28.298,15.235,Asia,Southern Asia,Low income,7.308151764
Afghanistan,Unemployment rate by sex and age,Female,Under 15,Children,10.306,11.552,12.789,14.017,14.706,15.418,16.783,17.134,26.746,29.193,30.956,18.14545455,Asia,Southern Asia,Low income,7.300289917
Afghanistan,Unemployment rate by sex and age,Male,15-24,Youth,9.206,11.502,13.772,16.027,15.199,14.361,14.452,15.099,16.655,18.512,19.77,14.95954545,Asia,Southern Asia,Low income,2.948478366
Afghanistan,Unemployment rate by sex and age,Male,25+,Adults,6.463,6.879,7.301,7.728,7.833,7.961,8.732,9.199,11.357,12.327,13.087,8.987909091,Asia,Southern Asia,Low income,2.265364626
Afghanistan,Unemployment rate by sex and age,Male,Under 15,Children,7.34,8.355,9.362,10.36,10.137,9.93,10.458,10.97,13.17,14.411,15.296,10.88990909,Asia,Southern Asia,Low income,2.456312661
Albania,Unemployment rate by sex and age,Female,15-24,Youth,32.59,40.274,34.102,27.429,25.765,26.005,29.766,28.687,27.004,25.758,25.21,29.32636364,Europe,Southern Europe,Upper-middle income,4.650770157
Albania,Unemployment rate by sex and age,Female,25+,Adults,13.6,14.499,12.142,10.875,10.312,9.662,10.743,10.736,10.073,9.66,9.488,11.07181818,Europe,Southern Europe,Upper-middle income,1.661519173
Albania,Unemployment rate by sex and age,Female,Under 15,Children,15.476,17.115,14.477,12.511,11.876,11.324,12.536,12.337,11.475,10.938,10.68,12.795,Europe,Southern Europe,Upper-middle income,2.042284554
Albania,Unemployment rate by sex and age,Male,15-24,Youth,43.556,39.644,37.63,34.023,29.906,27.953,31.426,30.366,29.001,27.731,27.267,32.59118182,Europe,Southern Europe,Upper-middle income,5.45251294
